x1,y1,x2,y2
120,92,5010,92
0,5,5093,5
120,2914,5010,2914
0,3299,5093,3299
3314,2918,5010,2918
100,3233,5010,3233
0,0,5093,0
121,88,5009,88
121,3237,5009,3237
0,3296,5093,3296
3,3297,3,3
5093,3298,5093,1
5089,3297,5089,3
5010,3236,5010,89
120,3234,120,90
0,3298,0,2
920,1427,1689,1427
125,3198,3240,3198
5006,3231,5006,94
124,3231,124,94
125,2949,2257,2949
125,3022,2257,3022
125,3093,2257,3093
125,3195,3240,3195
921,1423,1690,1423
125,3089,2257,3089
125,3124,2257,3124
125,3054,2257,3054
125,2987,2257,2987
125,3163,2257,3163
126,3127,2257,3127
125,2952,2257,2952
125,3019,2257,3019
3350,3160,3371,3160
3236,3177,5005,3177
126,3057,1372,3057
125,2984,2257,2984
3776,3172,5005,3172
125,3160,2257,3160
1901,330,2242,330
4816,328,4944,328
898,2772,937,2772
1638,1613,1905,1613
1139,2744,1200,2744
3040,1010,4178,1010
3754,2747,4117,2747
3236,3010,4159,3010
2287,1610,3421,1610
1528,2753,1744,2753
3375,2744,3572,2744
1059,2772,1113,2772
3673,3039,3899,3039
2270,201,4709,201
3236,3006,4159,3006
4637,2741,4777,2741
463,2738,591,2738
4079,3058,5005,3058
2287,1713,2924,1713
2793,2772,3148,2772
1933,2779,2075,2779
425,3108,662,3108
2936,2769,3147,2769
3673,3043,4159,3043
2262,1276,3018,1276
4155,3053,5005,3053
1890,2734,2147,2734
3842,2750,3903,2750
3037,1014,4178,1014
1303,328,1888,328
2270,202,4709,202
2288,1709,2921,1709
3272,3048,3641,3048
2789,752,3608,752
2792,748,3606,748
884,2757,942,2757
2636,3131,3037,3131
4812,2037,4911,2037
3637,3072,4159,3072
2281,3138,2479,3138
4791,3113,4844,3113
568,2724,592,2724
2056,2706,2117,2706
1860,1001,2450,1001
33,2788,33,1690
1282,2731,1333,2731
1280,3112,1316,3112
3241,203,3564,203
3673,3075,3836,3075
1610,2705,1664,2705
1684,2735,1742,2735
149,3141,187,3141
4236,2042,4674,2042
