x1,y1,x2,y2,orientation,length
120,92,5010,92,horizontal,4890.0
0,5,5093,5,horizontal,5093.0
120,2914,5010,2914,horizontal,4890.0
0,3299,5093,3299,horizontal,5093.0
3314,2918,5010,2918,horizontal,1696.0
100,3233,5010,3233,horizontal,4910.0
0,0,5093,0,horizontal,5093.0
121,88,5009,88,horizontal,4888.0
121,3237,5009,3237,horizontal,4888.0
0,3296,5093,3296,horizontal,5093.0
3,3297,3,3,vertical,3294.0
5093,3298,5093,1,vertical,3297.0
5089,3297,5089,3,vertical,3294.0
5010,3236,5010,89,vertical,3147.0
120,3234,120,90,vertical,3144.0
0,3298,0,2,vertical,3296.0
920,1427,1689,1427,horizontal,769.0
125,3198,3240,3198,horizontal,3115.0
5006,3231,5006,94,vertical,3137.0
124,3231,124,94,vertical,3137.0
125,2949,2257,2949,horizontal,2132.0
125,3022,2257,3022,horizontal,2132.0
125,3093,2257,3093,horizontal,2132.0
125,3195,3240,3195,horizontal,3115.0
921,1423,1690,1423,horizontal,769.0
125,3089,2257,3089,horizontal,2132.0
125,3124,2257,3124,horizontal,2132.0
125,3054,2257,3054,horizontal,2132.0
125,2987,2257,2987,horizontal,2132.0
125,3163,2257,3163,horizontal,2132.0
126,3127,2257,3127,horizontal,2131.0
125,2952,2257,2952,horizontal,2132.0
125,3019,2257,3019,horizontal,2132.0
3236,3177,5005,3177,horizontal,1769.0
126,3057,1372,3057,horizontal,1246.0
125,2984,2257,2984,horizontal,2132.0
3776,3172,5005,3172,horizontal,1229.0
125,3160,2257,3160,horizontal,2132.0
1901,330,2242,330,horizontal,341.0
4816,328,4944,328,horizontal,128.0
1638,1613,1905,1613,horizontal,267.0
3040,1010,4178,1010,horizontal,1138.0
3754,2747,4117,2747,horizontal,363.0
3236,3010,4159,3010,horizontal,923.0
2287,1610,3421,1610,horizontal,1134.0
1528,2753,1744,2753,horizontal,216.0
3375,2744,3572,2744,horizontal,197.0
3673,3039,3899,3039,horizontal,226.0
2270,201,4709,201,horizontal,2439.0
3236,3006,4159,3006,horizontal,923.0
4637,2741,4777,2741,horizontal,140.0
463,2738,591,2738,horizontal,128.0
4079,3058,5005,3058,horizontal,926.0
2287,1713,2924,1713,horizontal,637.0
2793,2772,3148,2772,horizontal,355.0
1933,2779,2075,2779,horizontal,142.0
425,3108,662,3108,horizontal,237.0
2936,2769,3147,2769,horizontal,211.0
3673,3043,4159,3043,horizontal,486.0
2262,1276,3018,1276,horizontal,756.0
4155,3053,5005,3053,horizontal,850.0
1890,2734,2147,2734,horizontal,257.0
3037,1014,4178,1014,horizontal,1141.0
1303,328,1888,328,horizontal,585.0
2270,202,4709,202,horizontal,2439.0
2288,1709,2921,1709,horizontal,633.0
3272,3048,3641,3048,horizontal,369.0
2789,752,3608,752,horizontal,819.0
2792,748,3606,748,horizontal,814.0
2636,3131,3037,3131,horizontal,401.0
3637,3072,4159,3072,horizontal,522.0
2281,3138,2479,3138,horizontal,198.0
1860,1001,2450,1001,horizontal,590.0
33,2788,33,1690,vertical,1098.0
3241,203,3564,203,horizontal,323.0
3673,3075,3836,3075,horizontal,163.0
4236,2042,4674,2042,horizontal,438.0
2304,2760,2444,2760,horizontal,140.0
4319,2767,4449,2767,horizontal,130.0
2838,2493,3617,2493,horizontal,779.0
1083,836,1586,836,horizontal,503.0
298,666,429,666,horizontal,131.0
4123,2187,4673,2187,horizontal,550.0
4671,996,4935,996,horizontal,264.0
1844,1006,2450,1006,horizontal,606.0
2263,1273,3018,1273,horizontal,755.0
461,2751,592,2751,horizontal,131.0
